Year,Site,Transect,Code,Species,Common name,Family,Length cm,a,b,Biomass
2017,Karpata,2,NA,Myripristis jacobus ,Blackbar soldierfish,Holocentridae,12,0.111,2.72,95.65
2017,No Dive Reserve,1,NA,Myripristis jacobus ,Blackbar soldierfish,Holocentridae,12,0.111,2.72,95.65
2015,18th Palm,4,BlG,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,17,0.0194,2.9996,95.20
2015,No Dive Reserve,1,BlG,Haemulon sciurus,Blue Stripped Grunt,Haemulidae,17,0.0194,2.9996,95.20
2015,Bachelor's Beach,2,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Bachelor's Beach,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Calabas,4,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Barcadera,4,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2017,Barcadera,6,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,17,0.0429,2.719,95.07
2015,Front Porch,2,Soap,Rypticus saponaceus,Soapfish,Serranidae,19,0.0115,3.06,93.96
2017,No Dive Reserve,4,NA,Cantherhines pullus,Orangespotted Filefish,Monacanthidae,18,0.02291,2.87,91.76
2017,No Dive Reserve,1,NA,Lactophyrs triqueter,Smooth Trunkfish,Ostraciidae,15,0.04898,2.78,91.11
2015,Karpata,4,SgM,Abudefduf saxatilis,Sergeant Major,Pomacentridae,14,0.0227,3.142,90.61
2017,Bachelor's Beach,3,NA,Abudefduf saxatilis,Sergeant Major,Pomacentridae,14,0.0227,3.142,90.61
2017,Forest,2,NA,Abudefduf saxatilis,Sergeant Major,Pomacentridae,14,0.0227,3.142,90.61
2017,Forest,2,NA,Abudefduf saxatilis,Sergeant Major,Pomacentridae,14,0.0227,3.142,90.61
2017,Oil Slick Leap,7,NA,Abudefduf saxatilis,Sergeant Major,Pomacentridae,14,0.0227,3.142,90.61
2017,Karpata,2,NA,Abudefduf saxatilis,Sergeant Major,Pomacentridae,14,0.0227,3.142,90.61
2017,Windsock,4,NA,Holacanthus tricolour,Rock Beauty,Pomacanthidae,15,0.03388,2.91,89.61
2017,Barcadera,7,NA,Holacanthus tricolour,Rock Beauty,Pomacanthidae,15,0.03388,2.91,89.61
2015,Bachelor's Beach,3,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,17,0.0194,2.9779,89.53
2015,18th Palm,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,17,0.0194,2.9779,89.53
2015,Front Porch,4,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,17,0.0194,2.9779,89.53
2015,Reef Scientifico,2,ScH,Lutjanus apodus,Schoolmaster,Lutjanidae,17,0.0194,2.9779,89.53
2015,Front Porch,2,GrB,Cephalopholis cruentata,Grasby,Serranidae,18,0.0135,3.0439,89.38
2015,Front Porch,4,GrB,Cephalopholis cruentata,Grasby,Serranidae,18,0.0135,3.0439,89.38
2017,Windsock,5,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,18th Palm,3,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Calabas,3,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Calabas,4,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Front Porch,3,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Forest,3,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Reef Scientifico,4,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Reef Scientifico,6,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Barcadera,1,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Barcadera,1,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Barcadera,1,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Barcadera,2,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Barcadera,5,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Oil Slick Leap,7,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,Oil Slick Leap,7,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2017,No Dive Reserve,6,NA,Cephalopholis cruentata,Graysby,Serranidae,18,0.0135,3.0439,89.38
2015,Windsock,2,LzF,Synodus intermedius,Lizardfish,Synodontidae,21,0.0099,2.99,89.20
2017,18th Palm,4,NA,Paranthias furcifer,Creole Fish,Serranidae,18,0.0135,3.043,89.15
2017,Front Porch,2,NA,Paranthias furcifer,Creole Fish,Serranidae,18,0.0135,3.043,89.15
2017,Front Porch,2,NA,Paranthias furcifer,Creole Fish,Serranidae,18,0.0135,3.043,89.15
2017,Front Porch,4,NA,Paranthias furcifer,Creole Fish,Serranidae,18,0.0135,3.043,89.15
2017,Reef Scientifico,7,NA,Paranthias furcifer,Creole Fish,Serranidae,18,0.0135,3.043,89.15
2017,Oil Slick Leap,4,NA,Paranthias furcifer,Creole Fish,Serranidae,18,0.0135,3.043,89.15
2017,Bachelor's Beach,2,NA,Synodus intermedius,Lizardfish,Synodontidae,21,0.0099,2.99,88.93
2015,Oil Slick Leap,1,TrF,Aulostomus maculatus,Trumpet Fish,Aulostomidae,33,0.004,2.865,88.76
2015,Barcadera,3,WhF,Cantherhines macrocerus,Whitespot Filefish,Monacanthidae,16,0.0562,2.6534,88.05
2015,Oil Slick Leap,5,WhF,Cantherhines macrocerus,Whitespot Filefish,Monacanthidae,16,0.0562,2.6534,88.05
2015,No Dive Reserve,3,WhF,Cantherhines macrocerus,Whitespot Filefish,Monacanthidae,16,0.0562,2.6534,88.05
2017,Karpata,6,NA,Cantherhines macrocerus,Whitespotted Filefish,Monacanthidae,16,0.0562,2.6534,88.05
2017,Oil Slick Leap,2,NA,Heteropriacanthus cruentatus,Glass Eye Snapper,Priacanthidae,19,0.0166,2.91,87.35
2015,Karpata,1,SpD,Equetus punctatus,Spotted Drum,Sciaenidae,20,0.0085,3.08,86.52
2017,No Dive Reserve,1,NA,Equetus punctatus,Spotted Drum,Sciaenidae,20,0.0085,3.08,86.42
2015,Front Porch,3,BaJ,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2015,Barcadera,3,BaJ,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2015,Oil Slick Leap,4,BaJ,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2017,Bachelor's Beach,4,NA,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2017,18th Palm,6,NA,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2017,Forest,2,NA,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2017,Reef Scientifico,1,NA,Caranx ruber,Bar Jack,Carangidae,18,0.0074,3.237,85.61
2015,Front Porch,1,GtF,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.0098,3.14,85.40
2015,Forest,3,GtF,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.0098,3.14,85.40
2017,Bachelor's Beach,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,18th Palm,6,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Forest,1,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Reef Scientifico,7,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Reef Scientifico,7,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Reef Scientifico,7,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,2,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,4,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,4,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,4,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,4,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,Barcadera,4,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2017,No Dive Reserve,5,NA,Mulloidichthys martinicus,Goatfish,Mullidae,18,0.00977,3.14,85.40
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2015,Barcadera,2,SmG,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,12,0.3971,2.1567,84.41
2017,Bachelor's Beach,5,NA,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,19,0.01259,2.99,83.85
2017,Calabas,5,NA,Haemulon chrysargyreum,Smallmouth Grunt,Haemulidae,19,0.01259,2.99,83.85
2017,Front Porch,3,NA,Gerres cinereus,Yellowfin Mojarra,Gerreidae,18,0.01148,3.07,81.97
2015,Calabas,3,BlM,Anisotremus surinamensis,Black Margate,Haemulidae,15,0.0233,3.01,80.80
2015,Barcadera,4,FrG,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,Bachelor's Beach,5,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,Windsock,7,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,18th Palm,5,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,18th Palm,5,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,Reef Scientifico,7,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,Barcadera,4,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,Barcadera,5,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,Oil Slick Leap,7,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2017,No Dive Reserve,4,NA,Haemulon flavolineatum,French Grunt,Haemulidae,16,0.0127,3.1581,80.64
2015,Calabas,2,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Front Porch,5,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Reef Scientifico,3,MgS,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,2,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Windsock,6,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,18th Palm,1,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,18th Palm,5,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,18th Palm,6,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2017,Oil Slick Leap,3,NA,Lutjanus mahogoni,Mahogany Snapper,Lutjanidae,16,0.0429,2.719,80.62
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2015,Forest,4,Jack,Caranx latus,Horse-eye Jack,Carangidae,14,0.0674,2.668,77.01
2017,18th Palm,4,NA,Synodus intermedius,Lizardfish,Synodontidae,20,0.0099,2.99,76.86
2015,Bachelor's Beach,1,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,Bachelor's Beach,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,Bachelor's Beach,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,Bachelor's Beach,5,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,Bachelor's Beach,5,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,1,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,1,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,2,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,2,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,3,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,4,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
2015,18th Palm,5,BlB,Myripristis jacobus ,Blackbar Soldierfish,Holocentridae,11,0.111,2.72,75.49
